,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,80529000.0,74671000.0,60805000.0,57884000.0
Effect Of Accounting Charges,,,,
Income Before Tax,782219000.0,750244000.0,758776000.0,729516000.0
Minority Interest,,,,
Net Income,784830000.0,814888000.0,612299000.0,582489000.0
Selling General Administrative,188311000.0,186003000.0,184262000.0,197559000.0
Gross Profit,1135643000.0,1084875000.0,1051194000.0,1022835000.0
Ebit,866803000.0,824201000.0,806127000.0,767392000.0
Operating Income,866803000.0,824201000.0,806127000.0,767392000.0
Other Operating Expenses,,,,
Interest Expense,-83255000.0,-90144000.0,-90611000.0,-114845000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-2611000.0,-64644000.0,146477000.0,147027000.0
Total Revenue,1327576000.0,1265052000.0,1231661000.0,1214969000.0
Total Operating Expenses,460773000.0,440851000.0,425534000.0,447577000.0
Cost Of Revenue,191933000.0,180177000.0,180467000.0,192134000.0
Total Other Income Expense Net,-84584000.0,-73957000.0,-47351000.0,-37876000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,784830000.0,814888000.0,612299000.0,582489000.0
Net Income Applicable To Common Shares,784830000.0,814888000.0,612299000.0,582489000.0
