,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,654600000.0,507900000.0,518800000.0,586300000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-664400000.0,-721200000.0,154400000.0,298400000.0
Minority Interest,,,,
Net Income,-1269100000.0,-669900000.0,16800000.0,352500000.0
Selling General Administrative,4128200000.0,3300000000.0,2503400000.0,2397300000.0
Gross Profit,7749900000.0,4572300000.0,4444200000.0,4572000000.0
Ebit,2967100000.0,764400000.0,1422000000.0,1588400000.0
Operating Income,2967100000.0,764400000.0,1422000000.0,1588400000.0
Other Operating Expenses,,,,
Interest Expense,-636200000.0,-497800000.0,-517300000.0,-542300000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,604700000.0,-51300000.0,137600000.0,-54100000.0
Total Revenue,17886300000.0,11946000000.0,11500500000.0,11433900000.0
Total Operating Expenses,14919200000.0,11181600000.0,10078500000.0,9845500000.0
Cost Of Revenue,10136400000.0,7373700000.0,7056300000.0,6861900000.0
Total Other Income Expense Net,-3631500000.0,-1485600000.0,-1267600000.0,-1290000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-1269100000.0,-669900000.0,16800000.0,352500000.0
Net Income Applicable To Common Shares,-1269100000.0,-669900000.0,16800000.0,352500000.0
