,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,29420000000.0,23967000000.0,22733000000.0,19623000000.0
Minority Interest,1410000000.0,1430000000.0,1440000000.0,1565000000.0
Net Income,22065000000.0,17801000000.0,19265000000.0,15528000000.0
Selling General Administrative,32011000000.0,29732000000.0,30523000000.0,26215000000.0
Gross Profit,77312000000.0,77091000000.0,77142000000.0,75355000000.0
Ebit,29095000000.0,30639000000.0,29937000000.0,31737000000.0
Operating Income,29095000000.0,30639000000.0,29937000000.0,31737000000.0
Other Operating Expenses,,,,
Interest Expense,-3485000000.0,-4247000000.0,-4730000000.0,-4833000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,6802000000.0,5619000000.0,2945000000.0,3584000000.0
Total Revenue,133613000000.0,128292000000.0,131868000000.0,130863000000.0
Total Operating Expenses,104518000000.0,97653000000.0,101931000000.0,99126000000.0
Cost Of Revenue,56301000000.0,51201000000.0,54726000000.0,55508000000.0
Total Other Income Expense Net,325000000.0,-6672000000.0,-7204000000.0,-12114000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,22618000000.0,18348000000.0,19788000000.0,16039000000.0
Net Income Applicable To Common Shares,22065000000.0,17801000000.0,19265000000.0,15528000000.0
