,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,168358000.0,140777000.0,142955000.0,143403000.0
Effect Of Accounting Charges,,,,
Income Before Tax,806193000.0,610914000.0,678239000.0,682146000.0
Minority Interest,,,,
Net Income,692843000.0,521571000.0,592198000.0,593794000.0
Selling General Administrative,627095000.0,527701000.0,526451000.0,585015000.0
Gross Profit,1629341000.0,1358676000.0,1395896000.0,1427365000.0
Ebit,826745000.0,679611000.0,716797000.0,691235000.0
Operating Income,826745000.0,679611000.0,716797000.0,691235000.0
Other Operating Expenses,,,,
Interest Expense,-44938000.0,-49070000.0,-48690000.0,-48641000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,113350000.0,89343000.0,86041000.0,88352000.0
Total Revenue,2785874000.0,2365365000.0,2406596000.0,2419929000.0
Total Operating Expenses,1959129000.0,1685754000.0,1689799000.0,1728694000.0
Cost Of Revenue,1156533000.0,1006689000.0,1010700000.0,992564000.0
Total Other Income Expense Net,-20552000.0,-68697000.0,-38558000.0,-9089000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,692843000.0,521571000.0,592198000.0,593794000.0
Net Income Applicable To Common Shares,692843000.0,521571000.0,592198000.0,593794000.0
