,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,383192000.0,1048820000.0,1333367000.0,838424000.0
Minority Interest,1361872000.0,1252343000.0,1442060000.0,1378311000.0
Net Income,336138000.0,978844000.0,1232432000.0,804954000.0
Selling General Administrative,126727000.0,128394000.0,126549000.0,126383000.0
Gross Profit,1960283000.0,1913708000.0,2412574000.0,2267482000.0
Ebit,795990000.0,746877000.0,1258952000.0,1190640000.0
Operating Income,795990000.0,746877000.0,1258952000.0,1190640000.0
Other Operating Expenses,,,,
Interest Expense,-489853000.0,-514388000.0,-555559000.0,-526592000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,8713000.0,9968000.0,2957000.0,8674000.0
Total Revenue,4742115000.0,4605967000.0,5121306000.0,4700499000.0
Total Operating Expenses,3946125000.0,3859090000.0,3862354000.0,3509859000.0
Cost Of Revenue,2781832000.0,2692259000.0,2708732000.0,2433017000.0
Total Other Income Expense Net,-412798000.0,301943000.0,74415000.0,-352216000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,374479000.0,1038852000.0,1330410000.0,829750000.0
Net Income Applicable To Common Shares,336138000.0,978844000.0,1232432000.0,758250000.0
