,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2324000000.0,1447000000.0,1530000000.0,-21000000.0
Minority Interest,167000000.0,910000000.0,923000000.0,914000000.0
Net Income,1783000000.0,1075000000.0,1168000000.0,-183000000.0
Selling General Administrative,2034000000.0,1894000000.0,2147000000.0,2201000000.0
Gross Profit,4409000000.0,3842000000.0,3511000000.0,3537000000.0
Ebit,2328000000.0,1886000000.0,1295000000.0,1261000000.0
Operating Income,2328000000.0,1886000000.0,1295000000.0,1261000000.0
Other Operating Expenses,,,,
Interest Expense,-175000000.0,-189000000.0,-187000000.0,-192000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,518000000.0,382000000.0,348000000.0,138000000.0
Total Revenue,21985000000.0,19456000000.0,20419000000.0,21037000000.0
Total Operating Expenses,19657000000.0,17570000000.0,19124000000.0,19776000000.0
Cost Of Revenue,17576000000.0,15614000000.0,16908000000.0,17500000000.0
Total Other Income Expense Net,-4000000.0,-439000000.0,235000000.0,-1282000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1806000000.0,1065000000.0,1182000000.0,-159000000.0
Net Income Applicable To Common Shares,1783000000.0,1075000000.0,1168000000.0,-183000000.0
