,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2073000000.0,277000000.0,1064000000.0,331000000.0
Minority Interest,2678000000.0,2814000000.0,3001000000.0,1337000000.0
Net Income,1517000000.0,211000000.0,850000000.0,-155000000.0
Selling General Administrative,550000000.0,477000000.0,558000000.0,594000000.0
Gross Profit,5195000000.0,4785000000.0,4665000000.0,4335000000.0
Ebit,2641000000.0,2560000000.0,2385000000.0,1954000000.0
Operating Income,2641000000.0,2560000000.0,2385000000.0,1954000000.0
Other Operating Expenses,162000000.0,27000000.0,8000000.0,62000000.0
Interest Expense,-1179000000.0,-1172000000.0,-1186000000.0,-1112000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,511000000.0,79000000.0,335000000.0,138000000.0
Total Revenue,10775000000.0,7724000000.0,8199000000.0,8686000000.0
Total Operating Expenses,8134000000.0,5164000000.0,5814000000.0,6732000000.0
Cost Of Revenue,5580000000.0,2939000000.0,3534000000.0,4351000000.0
Total Other Income Expense Net,-568000000.0,-2283000000.0,-1321000000.0,-1623000000.0
Discontinued Operations,,,-15000000.0,-15000000.0
Net Income From Continuing Ops,1562000000.0,198000000.0,729000000.0,193000000.0
Net Income Applicable To Common Shares,1514000000.0,208000000.0,847000000.0,-156000000.0
