,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3316000000.0,982000000.0,-213000000.0,807000000.0
Minority Interest,,,,
Net Income,2607000000.0,797000000.0,-76000000.0,748000000.0
Selling General Administrative,510000000.0,467000000.0,948000000.0,678000000.0
Gross Profit,4098000000.0,2085000000.0,1142000000.0,1884000000.0
Ebit,3541000000.0,1578000000.0,160000000.0,1146000000.0
Operating Income,3541000000.0,1578000000.0,160000000.0,1146000000.0
Other Operating Expenses,47000000.0,40000000.0,34000000.0,60000000.0
Interest Expense,-313000000.0,-443000000.0,-378000000.0,-375000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,709000000.0,185000000.0,-137000000.0,59000000.0
Total Revenue,10201000000.0,7532000000.0,6554000000.0,7476000000.0
Total Operating Expenses,6660000000.0,5954000000.0,6394000000.0,6330000000.0
Cost Of Revenue,6103000000.0,5447000000.0,5412000000.0,5592000000.0
Total Other Income Expense Net,-225000000.0,-596000000.0,-373000000.0,-339000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2607000000.0,797000000.0,-76000000.0,748000000.0
Net Income Applicable To Common Shares,2607000000.0,797000000.0,-76000000.0,748000000.0
