,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-1011516000.0,-1762275000.0,488218000.0,305740000.0
Minority Interest,-621797000.0,-385320000.0,-201573000.0,-219334000.0
Net Income,-755786000.0,-2067245000.0,122985000.0,572430000.0
Selling General Administrative,796592000.0,720849000.0,957970000.0,761415000.0
Gross Profit,2035483000.0,880142000.0,4784046000.0,5071385000.0
Ebit,-366241000.0,-1173345000.0,878305000.0,1199101000.0
Operating Income,-366241000.0,-1173345000.0,878305000.0,1199101000.0
Other Operating Expenses,852862000.0,536255000.0,2260286000.0,2502457000.0
Interest Expense,-605562000.0,-556474000.0,-414030000.0,-381849000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,474000.0,564671000.0,176840000.0,-497344000.0
Total Revenue,3763664000.0,2095861000.0,6611099000.0,6717660000.0
Total Operating Expenses,4129905000.0,3269206000.0,5732794000.0,5518559000.0
Cost Of Revenue,1728181000.0,1215719000.0,1827053000.0,1646275000.0
Total Other Income Expense Net,-645275000.0,-588930000.0,-390087000.0,-893361000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-1011990000.0,-2326946000.0,311378000.0,803084000.0
Net Income Applicable To Common Shares,-755786000.0,-2067245000.0,122985000.0,572430000.0
