,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1527000000.0,1467000000.0,1500000000.0,1442000000.0
Minority Interest,,,,
Net Income,1597000000.0,1473000000.0,1372000000.0,1261000000.0
Selling General Administrative,308000000.0,246000000.0,247000000.0,324000000.0
Gross Profit,5205000000.0,4914000000.0,4659000000.0,4373000000.0
Ebit,2146000000.0,2108000000.0,2078000000.0,1851000000.0
Operating Income,2146000000.0,2108000000.0,2078000000.0,1851000000.0
Other Operating Expenses,630000000.0,612000000.0,569000000.0,556000000.0
Interest Expense,-842000000.0,-840000000.0,-773000000.0,-700000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-70000000.0,-6000000.0,128000000.0,181000000.0
Total Revenue,13431000000.0,11526000000.0,11529000000.0,11537000000.0
Total Operating Expenses,11285000000.0,9418000000.0,9451000000.0,9686000000.0
Cost Of Revenue,8226000000.0,6612000000.0,6870000000.0,7164000000.0
Total Other Income Expense Net,-619000000.0,-641000000.0,-578000000.0,-409000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1597000000.0,1473000000.0,1372000000.0,1261000000.0
Net Income Applicable To Common Shares,1597000000.0,1473000000.0,1372000000.0,1261000000.0
