,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,497200000.0,372000000.0,449300000.0,391700000.0
Effect Of Accounting Charges,,,,
Income Before Tax,418400000.0,-274400000.0,905800000.0,-271100000.0
Minority Interest,5700000.0,5200000.0,4700000.0,4800000.0
Net Income,401600000.0,-138900000.0,1131600000.0,-379200000.0
Selling General Administrative,3103600000.0,2988600000.0,3278600000.0,3372400000.0
Gross Profit,5537000000.0,4950400000.0,5783500000.0,5661000000.0
Ebit,1320500000.0,992200000.0,1471300000.0,1301000000.0
Operating Income,1320500000.0,992200000.0,1471300000.0,1301000000.0
Other Operating Expenses,,,,
Interest Expense,-208400000.0,-212000000.0,-226900000.0,-289300000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,16300000.0,-137000000.0,-225700000.0,108200000.0
Total Revenue,7836200000.0,7024500000.0,7982200000.0,7932900000.0
Total Operating Expenses,6515700000.0,6032300000.0,6510900000.0,6631900000.0
Cost Of Revenue,2299200000.0,2074100000.0,2198700000.0,2271900000.0
Total Other Income Expense Net,-902100000.0,-1266600000.0,-565500000.0,-1572100000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,402100000.0,-137400000.0,1131500000.0,-379300000.0
Net Income Applicable To Common Shares,401600000.0,-138900000.0,1131600000.0,-379200000.0
