,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,567000000.0,453000000.0,447000000.0,444000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,968000000.0,560000000.0,598000000.0,524000000.0
Minority Interest,,,,
Net Income,837000000.0,504000000.0,544000000.0,421000000.0
Selling General Administrative,935000000.0,787000000.0,826000000.0,798000000.0
Gross Profit,2628000000.0,2003000000.0,2100000000.0,1981000000.0
Ebit,1011000000.0,685000000.0,724000000.0,642000000.0
Operating Income,1011000000.0,685000000.0,724000000.0,642000000.0
Other Operating Expenses,,,,
Interest Expense,-5000000.0,-76000000.0,-86000000.0,-90000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,131000000.0,56000000.0,54000000.0,103000000.0
Total Revenue,5627000000.0,4448000000.0,4485000000.0,4218000000.0
Total Operating Expenses,4616000000.0,3763000000.0,3761000000.0,3576000000.0
Cost Of Revenue,2999000000.0,2445000000.0,2385000000.0,2237000000.0
Total Other Income Expense Net,-43000000.0,-125000000.0,-126000000.0,-118000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,837000000.0,504000000.0,544000000.0,421000000.0
Net Income Applicable To Common Shares,837000000.0,504000000.0,544000000.0,421000000.0
