,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,508000000.0,463000000.0,457000000.0,432000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2488000000.0,1996000000.0,1801000000.0,1690000000.0
Minority Interest,1000000.0,4000000.0,4000000.0,4000000.0
Net Income,2037000000.0,1638000000.0,1500000000.0,1428000000.0
Selling General Administrative,2001000000.0,1713000000.0,1636000000.0,1482000000.0
Gross Profit,5481000000.0,4637000000.0,4345000000.0,3922000000.0
Ebit,2811000000.0,2301000000.0,2097000000.0,1891000000.0
Operating Income,2811000000.0,2301000000.0,2097000000.0,1891000000.0
Other Operating Expenses,,,,
Interest Expense,-224000000.0,-231000000.0,-223000000.0,-206000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,454000000.0,360000000.0,301000000.0,266000000.0
Total Revenue,7776000000.0,6675000000.0,6260000000.0,5825000000.0
Total Operating Expenses,4965000000.0,4374000000.0,4163000000.0,3934000000.0
Cost Of Revenue,2295000000.0,2038000000.0,1915000000.0,1903000000.0
Total Other Income Expense Net,-323000000.0,-305000000.0,-296000000.0,-201000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2034000000.0,1636000000.0,1500000000.0,1424000000.0
Net Income Applicable To Common Shares,2037000000.0,1638000000.0,1500000000.0,1428000000.0
